,,,,
,Motorcycle Fleet Sales Price Ledger,,,
,,,,
,SYM,NAGA 155,"RM8,888.00",MOPED
,SYM,VFE185I,"RM9,988.00",MOPED
,SYM,CRUISYM 400,"RM27,888.00",BIG BIKE
,VOGE,FORMICA ROSSA 150,"RM8,888.00",MOPED
,VOGE,SR3,"RM15,888.00",BIG BIKE
,VOGE,CU525,"RM29,888.00",SUPERBIKE
,VOGE,DS900X,"RM49,998.00",SUPERBIKE
,WMOTO,CUB CLASSIC(N1),"RM4,688.00",MOPED
,WMOTO,CRUISER AMT 125,"RM5,988.00",MOPED
,WMOTO,EZ125I,"RM4,588.00",MOPED
,WMOTO,GEMMA 125,"RM6,988.00",MOPED
,WMOTO,GRIFFIN 205,"RM8,888.00",MOPED
,WMOTO,NEXY+180 PRO,"RM9,288.00",MOPED
,WMOTO,SM125I,"RM5,888.00",MOPED
,WMOTO,XTREME 150I (N1),"RM10,988.00",MOPED
,WMOTO,XTREME 150I SE (N1),"RM11,288.00",MOPED
,WMOTO,ISLAND 150,"RM6,688.00",MOPED
,WMOTO,NX150S,"RM6,688.00",MOPED
,WMOTO,HAWK 200,"RM7,888.00",MOPED
,WMOTO,RT1,"RM9,888.00",MOPED
,WMOTO,RT2,"RM16,888.00",BIG BIKE
,WMOTO,ES250I(N1),"RM14,508.00",BIG BIKE
,WMOTO,BOBBIE 450S,"RM19,888.00",BIG BIKE
,WMOTO,BOBBIE VII,"RM35,888.00",SUPERBIKE
,WMOTO,BOBBIE VII 3 WHEELER,"RM46,888.00",SUPERBIKE
,X-WEDGE,RANGER RX2000,"RM68,888.00",SUPERBIKE
,X-WEDGE,ROVER RL2000,"RM98,888.00",SUPERBIKE
,X-WEDGE,ROVER RL2000S,"RM95,888.00",SUPERBIKE
,X-WEDGE,VANGUARD VT2000,"RM148,888.00",SUPERBIKE
,X-WEDGE,WALKER WR1000,"RM78,888.00",SUPERBIKE
,YADEA,GT20,"RM5,498.00",EV
,YADEA,RS20(ORIS),"RM5,498.00",EV
,YADEA,VELAX,"RM7,799.00",EV
,ZEEHO,AE4,"RM7,499.00",EV
,ZEEHO,AE8S+,"RM19,388.00",EV
