機車車牌 (vehicle no),品牌 (brand),機車型號 (model),製造年份 (MYear),買入價格 (Total Cost),顏色 (colour),買入日期 (purchase date)
JKS 4031,YAMAHA,EGO S,2007,"3,365.00",BLACK,05-06-2025
WVQ 6582,YAMAHA,NOUVO LC,2011,"1,000.00",BLACK,06-06-2025
JTE 3782,HONDA,ACB150CBTK,2019,"2,500.00",ORANGE,28-06-2025
WJB 3120,SUZUKI,AN125,2000,300.00,YELLOW,10-07-2025
JTS 4177,HONDA,RS150 REPSOL,2017,"1,800.00",BLACK,23-07-2025
JTT 4870,SYM,VF3I 185,2019,"1,500.00",BLACK,06-09-2025
JUY 8152,BENELLI,150S,2021,"6,026.40",BLACK,01-11-2025
JEF 9625,HONDA,C100,1996,"5,234.30",BLACK,01-11-2025
NDY 2713,WMOTO,F-15I,2021,"5,686.00",BLACK,01-11-2025
JSJ 5502,YAMAHA,NVX,2017,"9,673.46",BLUE,01-11-2025
JWN 6496,SYM,JET X 150 SE,2023,"4,500.00",MATT BLUE,13-11-2025
JVE 8040,SYM,JET X 150,2022,"4,000.00",RED,20-11-2025
MCQ 136,YAMAHA,135LC,2014,"5,464.90",KELABU,05-12-2025
JUV 1085,HONDA,VARIO 150 ACB150CBT,2021,"2,656.30",RED,10-12-2025
JPM 312,HONDA,AFS125MCS (CAST FRDISK,2013,"1,000.00",RED,19-12-2025
JTY 576,YAMAHA,EGO AVANTIZ,2020,"3,013.00",GREEN,19-12-2025
JQJ 4582,YAMAHA,FZ150I (S),2014,"2,523.00",BLACK,26-12-2025
JQN 4572,YAMAHA,NOUVO LC,2014,"2,425.50",RED,05-01-2026
JKQ 873,YAMAHA,EGO S,2007,800.00,BLACK,06-01-2026
MBX 5976,HONDA,C100,2010,"2,000.00",BLACK (B),15-01-2026
JUC 8580,MODENAS,DOMINAR-D400 DM400,2019,"4,000.00",BLACK,22-01-2026
JTL 6242,HONDA,ACB150CBTK,2019,"3,538.20",YELLOW,28-01-2026
JHP 406,YAMAHA,EGO,2004,700.00,BLACK,31-01-2026
TCH 7186,HONDA,RS150R,2021,"3,006.00",BLACK,02-02-2026
JUB 9466,SYM,VF3i185LE,2020,"3,000.00",BLACK,04-02-2026
JST 1694,KAWASAKI,KLE250-C,2017,"6,800.00",GREEN,05-02-2026
AMA 6778,HONDA,FS150FL2,2021,"3,546.00",ORANGE,10-02-2026
JXQ 1851,YAMAHA,Y15ZR,2024,"6,500.00",GREY,10-02-2026
RAE 4621,YAMAHA,Y15ZR,2020,"2,975.00",BLUE,15-02-2026
JLT 5355,YAMAHA,135LC,2009,"1,300.00",BLACK,27-02-2026
VDS 3152,YAMAHA,Y15ZR,2019,"5,458.50",GREY,28-02-2026
JUM 6147,YAMAHA,Y15ZR,2021,"4,509.00",BLACK,03-03-2026
JRF 2104,KAWASAKI,EX250-L NINJA 250,2015,"4,000.00",GREEN,12-03-2026
JXN 5082,ZONTES,ZT-350T E,2024,"10,425.27",MATT BLACK,18-03-2026
JLM 5147,YAMAHA,EGO S,2009,"1,300.00",BLUE,24-03-2026
JNA 313,HONDA,ACH110CBFK,2019,"2,000.00",BLUE,25-03-2026
BLQ 5234,YAMAHA,EGO LC,2012,500.00,RED,03-04-2026
VNF 5243,WMOTO,RT3 S,2023,"6,233.62",GREEN,07-04-2026
JVD 5972,SYM,JET X 150,2022,"3,052.00",YELLOW,11-04-2026
KFR 8064,HONDA,BEAT,2023,"2,005.95",YELLOW,30-04-2026
JWA 5784,HONDA,RS-X FS150FA2,2023,"3,919.60",RED,06-05-2026
SS 8473,SYM,EVO 250i,2011,"1,300.00",PRED,06-05-2026
JQT 8691,SYM,VTS 200,2015,"1,300.00",BLACK,06-05-2026
JWT 2327,WMOTO,ES125 SE,2023,"1,568.14",GREEN,14-05-2026
JLR 6793,SUZUKI,SMASH REVO SD,2009,500.00,BLACK (B),16-05-2026
VHD 6337,SYM,JET X 150,2021,"2,963.67",RED,21-05-2026
MCL 6079,SYM,T2 250,2013,800.00,WHITE,23-05-2026
JUA 7518,SYM,VF3I 185 (N2),2020,"2,275.32",GOLD,04-06-2026
BKY 2907,YAMAHA,LAGENDA 115ZRI,2010,"1,000.00",RED,12-06-2026
JWD 7945,MODENAS,KARISMA SN125Z,2022,"3,293.00",BLUE,13-06-2026
JVP 3524,BENELLI,TRK251 SE (N1),2022,"3,734.78",BLACK (B),11-07-2026
MDH 9985,YAMAHA,135LC,2021,"2,500.00",BLUE,03-08-2026
JNG 3023,YAMAHA,EGO LC,2010,"1,000.00",BLACK (B),05-08-2026
JQT 4327,YAMAHA,LAGENDA 115Z (K),2013,"1,165.00",WHITE,07-08-2026
